variable,counts
ed_hs_degree,2
ed_associates_degree,2
ed_bachelors_degree,80
ed_bachelors_of_science,7
ed_masters_degree,32
ed_masters_of_science,0
ed_phd,8
ed_comp_sci_field,91
ed_eng_field,192
ed_stem_field,428
ed_bootcamp,0
ed_ga,0
programming_java,277
programming_javascript,110
programming_jquery,28
programming_j2ee,21
programming_angular,87
programming_git,108
programming_github,13
programming_swagger,3
programming_postman,1
programming_elastic_search,0
programming_kinesis,2
programming_lambda,5
programming_rds,118
programming_redshift,3
programming_s3,19
programming_glacier,1
programming_dynamodb,8
programming_sqs,3
programming_sns,1
programming_elastic_cache,0
programming_ec2,5
programming_ecs,4
programming_kibana,4
programming_spark,3
programming_hadoop,6
programming_aws,88
programming_azure,34
programming_sql,164
programming_nosql,14
programming_python,75
programming_swift,24
programming_carthage,1
programming_php,17
programming_html,63
programming_html5,27
programming_css,58
programming_css3,13
programming_bootstrap,20
programming_ajax,11
programming_jboss,5
programming_oracle_db,3
programming_rhapsody,3
programming_vxworks,4
programming_ejb,1
programming_microstrategy,14
programming_tableau,10
programming_arcgis,2
programming_3-gis,1
programming_autocad,3
programming_visio,68
programming_ruby,25
programming_ruby_on_rails,0
programming_c++,68
programming_c#,89
programming_c,20
programming_r,2
